Record #:  0
Notes :


24.06.201715:18:34
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
268,888474E-6	-8,011055E-3	-5,942154E-3	2,872753E-3	-9,428263E-3	-6,023979E-3	-9,574699E-3	2,595139E-3
268,650055E-6	-7,987118E-3	-5,925989E-3	2,877426E-3	-9,430504E-3	-6,029224E-3	-9,586573E-3	2,598190E-3
268,363953E-6	-7,967520E-3	-5,930185E-3	2,886152E-3	-9,442997E-3	-6,044960E-3	-9,539986E-3	2,605009E-3
268,125534E-6	-7,963228E-3	-5,916262E-3	2,874184E-3	-9,472275E-3	-6,059217E-3	-9,531832E-3	2,590895E-3
268,602371E-6	-7,969189E-3	-5,909157E-3	2,867794E-3	-9,512854E-3	-6,097889E-3	-9,541368E-3	2,580309E-3
268,411636E-6	-7,967901E-3	-5,894423E-3	2,855206E-3	-9,547520E-3	-6,148529E-3	-9,533358E-3	2,559805E-3
268,936157E-6	-7,970333E-3	-5,900240E-3	2,855921E-3	-9,538794E-3	-6,145382E-3	-9,522963E-3	2,555323E-3
268,793106E-6	-7,971430E-3	-5,907488E-3	2,852631E-3	-9,520197E-3	-6,121445E-3	-9,549427E-3	2,551746E-3
269,079208E-6	-7,973671E-3	-5,899715E-3	2,857018E-3	-9,500885E-3	-6,088877E-3	-9,552288E-3	2,559996E-3
268,077850E-6	-7,974529E-3	-5,890369E-3	2,866077E-3	-9,471941E-3	-6,056023E-3	-9,577560E-3	2,575827E-3
269,031525E-6	-7,972336E-3	-5,895710E-3	2,859640E-3	-9,443760E-3	-6,024408E-3	-9,569359E-3	2,575684E-3
268,363953E-6	-7,967424E-3	-5,889559E-3	2,847099E-3	-9,447098E-3	-6,034899E-3	-9,499407E-3	2,563477E-3
267,505646E-6	-7,955694E-3	-5,874538E-3	2,840948E-3	-9,476185E-3	-6,061125E-3	-9,521484E-3	2,549744E-3
268,125534E-6	-7,936859E-3	-5,856609E-3	2,828312E-3	-9,509468E-3	-6,093359E-3	-9,562635E-3	2,532291E-3
268,125534E-6	-7,925367E-3	-5,849600E-3	2,833986E-3	-9,536076E-3	-6,130362E-3	-9,569693E-3	2,528954E-3
268,554687E-6	-7,920408E-3	-5,861092E-3	2,868223E-3	-9,530258E-3	-6,119871E-3	-9,545183E-3	2,555180E-3
267,839432E-6	-7,917261E-3	-5,888176E-3	2,922487E-3	-9,474897E-3	-6,064796E-3	-9,497929E-3	2,603388E-3
267,457962E-6	-7,931042E-3	-5,894184E-3	2,923155E-3	-9,441519E-3	-6,028605E-3	-9,470415E-3	2,608061E-3
269,031525E-6	-7,934999E-3	-5,882406E-3	2,909470E-3	-9,441423E-3	-6,031799E-3	-9,496546E-3	2,592802E-3
270,700455E-6	-7,945251E-3	-5,886841E-3	2,890062E-3	-9,452581E-3	-6,050873E-3	-9,526920E-3	2,580452E-3
269,699097E-6	-7,951927E-3	-5,884361E-3	2,877378E-3	-9,463692E-3	-6,051064E-3	-9,542942E-3	2,575684E-3
269,556046E-6	-7,947874E-3	-5,865717E-3	2,864885E-3	-9,481144E-3	-6,060457E-3	-9,570408E-3	2,567005E-3
268,793106E-6	-7,939863E-3	-5,848026E-3	2,850437E-3	-9,487963E-3	-6,081676E-3	-9,510088E-3	2,551270E-3
